peptide_id	target_name	target_role	target_uniprot	iptm_best	iptm_mean	iptm_std	ptm_best	iface_pae_best	n_samples	sec	is_shuffled	shuffle_k	err
101_507_864	IL7R	receptor	P16871	0.155	0.122	0.019	0.757	25.0	5	1.8	0	-1	
101_507_864	INSR	decoy	P06213	0.336	0.24	0.08	0.543	29.76	5	9.7	0	-1	
101_507_864	EPOR	decoy	P19235	0.246	0.241	0.004	0.794	22.82	5	1.8	0	-1	
101_507_864	GHR	decoy	P10912	0.253	0.203	0.045	0.681	25.12	5	2.1	0	-1	
101_507_864	LGR4	decoy	Q9BXB1	0.347	0.325	0.022	0.768	23.81	5	6.1	0	-1	
101_507_864	GCGR	decoy	P47871	0.225	0.187	0.033	0.555	19.81	5	1.3	0	-1	
101_507_864	PTHR1	decoy	Q03431	0.292	0.248	0.046	0.475	22.16	5	1.4	0	-1	
101_507_864	ADRB2	decoy	P07550	0.21	0.164	0.044	0.689	27.35	5	4.0	0	-1	
101_507_864	DRD2	decoy	P14416	0.352	0.335	0.013	0.612	24.81	5	4.3	0	-1	
101_507_864	ITGAV	decoy	P06756	0.351	0.331	0.022	0.659	27.06	5	17.3	0	-1	
101_507_864	ITGB3	decoy	P05106	0.27	0.206	0.044	0.628	27.86	5	9.8	0	-1	
286_758_872	IL23R	receptor	Q5VWK5	0.361	0.286	0.081	0.696	23.6	5	3.0	0	-1	
286_758_872	EGFR	receptor	P00533	0.242	0.209	0.028	0.555	28.44	5	8.2	0	-1	
286_758_872	FPR1	receptor	P21462	0.283	0.22	0.081	0.716	24.92	5	3.2	0	-1	
286_758_872	FPR2	receptor	P25090	0.219	0.152	0.04	0.755	26.24	5	3.2	0	-1	
286_758_872	TLR2	receptor	O60603	0.456	0.445	0.009	0.865	20.9	5	6.9	0	-1	
286_758_872	IL10RA	receptor	Q13651	0.23	0.162	0.06	0.792	22.84	5	1.7	0	-1	
286_758_872	GLP1R	receptor	P43220	0.236	0.209	0.027	0.581	20.24	5	1.3	0	-1	
286_758_872	GPR35	receptor	Q9HC97	0.124	0.101	0.015	0.727	28.0	5	2.8	0	-1	
286_758_872	ITGA4	receptor	P13612	0.231	0.2	0.032	0.616	29.29	5	17.0	0	-1	
286_758_872	ITGB7	receptor	P26010	0.243	0.225	0.017	0.608	28.27	5	9.6	0	-1	
286_758_872	CCR6	receptor	P51684	0.221	0.175	0.039	0.639	26.37	5	3.6	0	-1	
286_758_872	TNFRSF1B	receptor	P20333	0.43	0.41	0.012	0.58	21.25	5	2.0	0	-1	
286_758_872	IL6R	receptor	P08887	0.318	0.259	0.089	0.677	24.34	5	3.0	0	-1	
286_758_872	CXCR4	receptor	P61073	0.142	0.129	0.017	0.699	28.55	5	3.2	0	-1	
286_758_872	IL7R	receptor	P16871	0.309	0.253	0.039	0.772	21.79	5	1.8	0	-1	
286_758_872	INSR	decoy	P06213	0.159	0.143	0.013	0.54	30.17	5	10.6	0	-1	
286_758_872	EPOR	decoy	P19235	0.303	0.273	0.037	0.798	21.56	5	1.8	0	-1	
286_758_872	GHR	decoy	P10912	0.169	0.129	0.037	0.666	26.37	5	2.0	0	-1	
286_758_872	LGR4	decoy	Q9BXB1	0.639	0.58	0.093	0.779	16.88	5	5.7	0	-1	
286_758_872	GCGR	decoy	P47871	0.239	0.217	0.012	0.569	19.8	5	1.3	0	-1	
286_758_872	PTHR1	decoy	Q03431	0.241	0.221	0.02	0.455	22.82	5	1.5	0	-1	
286_758_872	ADRB2	decoy	P07550	0.196	0.154	0.025	0.667	26.97	5	4.1	0	-1	
286_758_872	DRD2	decoy	P14416	0.209	0.166	0.042	0.562	27.24	5	4.6	0	-1	
286_758_872	ITGAV	decoy	P06756	0.285	0.192	0.068	0.639	28.33	5	15.4	0	-1	
286_758_872	ITGB3	decoy	P05106	0.313	0.264	0.038	0.635	27.09	5	9.5	0	-1	
249_970_180	IL23R	receptor	Q5VWK5	0.221	0.196	0.035	0.684	27.33	5	3.1	0	-1	
249_970_180	EGFR	receptor	P00533	0.226	0.175	0.036	0.585	27.25	5	8.5	0	-1	
249_970_180	FPR1	receptor	P21462	0.284	0.256	0.026	0.729	23.72	5	3.5	0	-1	
249_970_180	FPR2	receptor	P25090	0.309	0.294	0.009	0.758	23.17	5	3.6	0	-1	
249_970_180	TLR2	receptor	O60603	0.255	0.241	0.015	0.832	25.57	5	7.0	0	-1	
249_970_180	IL10RA	receptor	Q13651	0.077	0.071	0.004	0.752	28.38	5	1.9	0	-1	
249_970_180	GLP1R	receptor	P43220	0.127	0.113	0.01	0.546	24.38	5	1.3	0	-1	
249_970_180	GPR35	receptor	Q9HC97	0.097	0.079	0.013	0.717	29.05	5	2.9	0	-1	
249_970_180	ITGA4	receptor	P13612	0.305	0.292	0.012	0.616	27.86	5	17.4	0	-1	
249_970_180	ITGB7	receptor	P26010	0.198	0.189	0.01	0.594	28.96	5	9.9	0	-1	
249_970_180	CCR6	receptor	P51684	0.149	0.144	0.003	0.674	28.2	5	3.7	0	-1	
249_970_180	TNFRSF1B	receptor	P20333	0.217	0.192	0.019	0.561	25.58	5	2.1	0	-1	
249_970_180	IL6R	receptor	P08887	0.133	0.118	0.012	0.662	28.36	5	3.4	0	-1	
249_970_180	CXCR4	receptor	P61073	0.164	0.149	0.016	0.701	27.47	5	3.5	0	-1	
249_970_180	IL7R	receptor	P16871	0.195	0.169	0.019	0.745	24.0	5	2.0	0	-1	
249_970_180	INSR	decoy	P06213	0.513	0.482	0.027	0.525	27.07	5	11.5	0	-1	
249_970_180	EPOR	decoy	P19235	0.145	0.126	0.013	0.763	26.1	5	2.0	0	-1	
249_970_180	GHR	decoy	P10912	0.166	0.126	0.027	0.631	27.23	5	2.3	0	-1	
249_970_180	LGR4	decoy	Q9BXB1	0.281	0.265	0.013	0.762	24.51	5	6.1	0	-1	
249_970_180	GCGR	decoy	P47871	0.145	0.095	0.025	0.554	23.02	5	1.4	0	-1	
249_970_180	PTHR1	decoy	Q03431	0.145	0.132	0.011	0.442	26.03	5	1.5	0	-1	
249_970_180	ADRB2	decoy	P07550	0.091	0.085	0.006	0.651	30.14	5	4.4	0	-1	
249_970_180	DRD2	decoy	P14416	0.213	0.19	0.024	0.587	27.23	5	4.8	0	-1	
249_970_180	ITGAV	decoy	P06756	0.522	0.517	0.005	0.657	25.13	5	16.8	0	-1	
249_970_180	ITGB3	decoy	P05106	0.172	0.151	0.022	0.63	29.26	5	9.1	0	-1	
275_445_135	IL23R	receptor	Q5VWK5	0.244	0.199	0.034	0.636	25.36	5	3.7	0	-1	
275_445_135	EGFR	receptor	P00533	0.244	0.208	0.031	0.523	28.13	5	9.2	0	-1	
275_445_135	FPR1	receptor	P21462	0.201	0.164	0.03	0.657	26.98	5	3.9	0	-1	
275_445_135	FPR2	receptor	P25090	0.304	0.281	0.014	0.714	22.64	5	4.0	0	-1	
275_445_135	TLR2	receptor	O60603	0.209	0.189	0.018	0.793	26.85	5	7.4	0	-1	
275_445_135	IL10RA	receptor	Q13651	0.204	0.18	0.025	0.698	24.32	5	2.3	0	-1	
275_445_135	GLP1R	receptor	P43220	0.375	0.355	0.027	0.643	15.94	5	1.5	0	-1	
275_445_135	GPR35	receptor	Q9HC97	0.144	0.123	0.013	0.674	28.07	5	3.5	0	-1	
275_445_135	ITGA4	receptor	P13612	0.273	0.258	0.017	0.598	28.51	5	18.0	0	-1	
275_445_135	ITGB7	receptor	P26010	0.223	0.125	0.05	0.566	28.93	5	10.4	0	-1	
275_445_135	CCR6	receptor	P51684	0.284	0.257	0.018	0.636	24.23	5	4.3	0	-1	
275_445_135	TNFRSF1B	receptor	P20333	0.227	0.204	0.021	0.526	24.67	5	2.5	0	-1	
275_445_135	IL6R	receptor	P08887	0.3	0.261	0.036	0.66	23.69	5	3.8	0	-1	
275_445_135	CXCR4	receptor	P61073	0.259	0.243	0.009	0.668	24.45	5	3.8	0	-1	
275_445_135	IL7R	receptor	P16871	0.129	0.098	0.022	0.638	28.13	5	2.4	0	-1	
275_445_135	INSR	decoy	P06213	0.659	0.543	0.204	0.551	23.88	5	12.4	0	-1	
275_445_135	EPOR	decoy	P19235	0.155	0.153	0.002	0.696	25.11	5	2.4	0	-1	
275_445_135	GHR	decoy	P10912	0.209	0.193	0.017	0.61	27.14	5	2.6	0	-1	
275_445_135	LGR4	decoy	Q9BXB1	0.288	0.249	0.021	0.717	24.53	5	6.5	0	-1	
275_445_135	GCGR	decoy	P47871	0.19	0.168	0.017	0.54	21.48	5	1.5	0	-1	
275_445_135	PTHR1	decoy	Q03431	0.105	0.082	0.014	0.414	27.13	5	1.7	0	-1	
275_445_135	ADRB2	decoy	P07550	0.213	0.184	0.025	0.614	27.96	5	4.8	0	-1	
275_445_135	DRD2	decoy	P14416	0.247	0.225	0.019	0.543	26.82	5	5.5	0	-1	
275_445_135	ITGAV	decoy	P06756	0.341	0.224	0.076	0.63	27.25	5	17.8	0	-1	
275_445_135	ITGB3	decoy	P05106	0.119	0.112	0.004	0.585	30.53	5	10.8	0	-1	
266_997_670	IL23R	receptor	Q5VWK5	0.16	0.145	0.02	0.634	27.45	5	3.5	0	-1	
266_997_670	EGFR	receptor	P00533	0.247	0.227	0.012	0.568	26.73	5	8.5	0	-1	
266_997_670	FPR1	receptor	P21462	0.274	0.244	0.024	0.715	26.85	5	3.7	0	-1	
266_997_670	FPR2	receptor	P25090	0.275	0.256	0.013	0.74	23.97	5	3.5	0	-1	
266_997_670	TLR2	receptor	O60603	0.293	0.273	0.014	0.822	24.38	5	7.5	0	-1	
266_997_670	IL10RA	receptor	Q13651	0.12	0.099	0.012	0.705	26.65	5	2.0	0	-1	
266_997_670	GLP1R	receptor	P43220	0.161	0.134	0.014	0.542	22.97	5	1.4	0	-1	
266_997_670	GPR35	receptor	Q9HC97	0.19	0.148	0.033	0.684	29.46	5	3.0	0	-1	
266_997_670	ITGA4	receptor	P13612	0.273	0.239	0.034	0.605	28.54	5	15.4	0	-1	
266_997_670	ITGB7	receptor	P26010	0.138	0.134	0.007	0.57	30.56	5	10.6	0	-1	
266_997_670	CCR6	receptor	P51684	0.265	0.235	0.019	0.66	25.11	5	4.0	0	-1	
266_997_670	TNFRSF1B	receptor	P20333	0.182	0.177	0.004	0.535	25.63	5	2.3	0	-1	
266_997_670	IL6R	receptor	P08887	0.276	0.222	0.032	0.659	25.13	5	3.6	0	-1	
266_997_670	CXCR4	receptor	P61073	0.126	0.107	0.021	0.654	28.8	5	3.7	0	-1	
266_997_670	IL7R	receptor	P16871	0.189	0.178	0.011	0.707	24.14	5	2.0	0	-1	
266_997_670	INSR	decoy	P06213	0.481	0.426	0.073	0.521	27.67	5	11.1	0	-1	
266_997_670	EPOR	decoy	P19235	0.133	0.128	0.007	0.711	26.19	5	2.3	0	-1	
266_997_670	GHR	decoy	P10912	0.118	0.113	0.005	0.626	29.0	5	2.4	0	-1	
266_997_670	LGR4	decoy	Q9BXB1	0.353	0.24	0.091	0.715	27.91	5	6.7	0	-1	
266_997_670	GCGR	decoy	P47871	0.135	0.116	0.011	0.532	23.09	5	1.4	0	-1	
266_997_670	PTHR1	decoy	Q03431	0.229	0.193	0.03	0.465	23.64	5	1.6	0	-1	
266_997_670	ADRB2	decoy	P07550	0.123	0.115	0.009	0.632	29.2	5	4.6	0	-1	
266_997_670	DRD2	decoy	P14416	0.155	0.14	0.012	0.538	29.29	5	4.8	0	-1	
266_997_670	ITGAV	decoy	P06756	0.272	0.253	0.012	0.629	28.5	5	17.9	0	-1	
266_997_670	ITGB3	decoy	P05106	0.167	0.129	0.028	0.628	29.51	5	10.4	0	-1	
272_385_543	IL23R	receptor	Q5VWK5	0.206	0.193	0.014	0.664	26.45	5	3.3	0	-1	
272_385_543	EGFR	receptor	P00533	0.284	0.262	0.018	0.63	25.71	5	8.2	0	-1	
272_385_543	FPR1	receptor	P21462	0.242	0.231	0.008	0.706	24.59	5	3.6	0	-1	
272_385_543	FPR2	receptor	P25090	0.253	0.241	0.015	0.747	24.63	5	3.4	0	-1	
272_385_543	TLR2	receptor	O60603	0.324	0.284	0.041	0.844	24.2	5	7.3	0	-1	
272_385_543	IL10RA	receptor	Q13651	0.514	0.498	0.009	0.77	23.37	5	2.0	0	-1	
272_385_543	GLP1R	receptor	P43220	0.162	0.149	0.012	0.601	22.97	5	1.4	0	-1	
272_385_543	GPR35	receptor	Q9HC97	0.111	0.103	0.01	0.72	28.93	5	2.9	0	-1	
272_385_543	ITGA4	receptor	P13612	0.373	0.342	0.044	0.618	26.88	5	15.2	0	-1	
272_385_543	ITGB7	receptor	P26010	0.353	0.293	0.069	0.608	26.16	5	10.7	0	-1	
272_385_543	CCR6	receptor	P51684	0.385	0.381	0.004	0.694	23.25	5	4.0	0	-1	
272_385_543	TNFRSF1B	receptor	P20333	0.248	0.228	0.015	0.544	24.9	5	2.2	0	-1	
272_385_543	IL6R	receptor	P08887	0.194	0.188	0.006	0.663	26.73	5	3.6	0	-1	
272_385_543	CXCR4	receptor	P61073	0.217	0.207	0.008	0.7	25.61	5	3.6	0	-1	
272_385_543	IL7R	receptor	P16871	0.148	0.132	0.012	0.718	25.31	5	2.0	0	-1	
272_385_543	INSR	decoy	P06213	0.435	0.359	0.071	0.529	27.85	5	10.9	0	-1	
272_385_543	EPOR	decoy	P19235	0.504	0.487	0.011	0.803	20.99	5	2.1	0	-1	
272_385_543	GHR	decoy	P10912	0.227	0.206	0.03	0.666	24.85	5	2.4	0	-1	
272_385_543	LGR4	decoy	Q9BXB1	0.542	0.531	0.013	0.781	20.75	5	6.4	0	-1	
272_385_543	GCGR	decoy	P47871	0.214	0.182	0.024	0.619	19.96	5	1.4	0	-1	
272_385_543	PTHR1	decoy	Q03431	0.183	0.173	0.009	0.492	24.64	5	1.6	0	-1	
272_385_543	ADRB2	decoy	P07550	0.144	0.126	0.016	0.655	28.69	5	4.4	0	-1	
272_385_543	DRD2	decoy	P14416	0.212	0.198	0.015	0.558	27.21	5	4.7	0	-1	
272_385_543	ITGAV	decoy	P06756	0.324	0.282	0.027	0.643	27.57	5	18.0	0	-1	
272_385_543	ITGB3	decoy	P05106	0.231	0.204	0.028	0.632	28.16	5	10.2	0	-1	
284_274_989	IL23R	receptor	Q5VWK5	0.166	0.157	0.011	0.651	26.78	5	3.3	0	-1	
284_274_989	EGFR	receptor	P00533	0.285	0.239	0.038	0.593	25.64	5	7.8	0	-1	
284_274_989	FPR1	receptor	P21462	0.204	0.196	0.006	0.69	25.74	5	3.7	0	-1	
284_274_989	FPR2	receptor	P25090	0.245	0.227	0.012	0.735	24.38	5	3.6	0	-1	
284_274_989	TLR2	receptor	O60603	0.308	0.285	0.012	0.837	24.16	5	7.4	0	-1	
284_274_989	IL10RA	receptor	Q13651	0.14	0.126	0.018	0.734	25.98	5	2.0	0	-1	
284_274_989	GLP1R	receptor	P43220	0.19	0.176	0.009	0.539	21.74	5	1.4	0	-1	
284_274_989	GPR35	receptor	Q9HC97	0.173	0.128	0.036	0.705	26.17	5	2.8	0	-1	
284_274_989	ITGA4	receptor	P13612	0.354	0.348	0.005	0.618	27.19	5	16.5	0	-1	
284_274_989	ITGB7	receptor	P26010	0.242	0.233	0.008	0.595	28.28	5	10.5	0	-1	
284_274_989	CCR6	receptor	P51684	0.13	0.11	0.016	0.637	28.7	5	4.0	0	-1	
284_274_989	TNFRSF1B	receptor	P20333	0.218	0.185	0.018	0.535	24.86	5	2.2	0	-1	
284_274_989	IL6R	receptor	P08887	0.347	0.328	0.011	0.687	23.51	5	3.6	0	-1	
284_274_989	CXCR4	receptor	P61073	0.175	0.109	0.034	0.665	27.46	5	3.8	0	-1	
284_274_989	IL7R	receptor	P16871	0.338	0.309	0.021	0.741	21.31	5	2.0	0	-1	
284_274_989	INSR	decoy	P06213	0.458	0.393	0.052	0.526	27.82	5	11.0	0	-1	
284_274_989	EPOR	decoy	P19235	0.145	0.137	0.007	0.731	25.48	5	2.1	0	-1	
284_274_989	GHR	decoy	P10912	0.2	0.189	0.006	0.654	25.18	5	2.4	0	-1	
284_274_989	LGR4	decoy	Q9BXB1	0.283	0.251	0.021	0.734	25.0	5	6.4	0	-1	
284_274_989	GCGR	decoy	P47871	0.165	0.143	0.016	0.521	22.22	5	1.4	0	-1	
284_274_989	PTHR1	decoy	Q03431	0.164	0.155	0.005	0.448	24.98	5	1.6	0	-1	
284_274_989	ADRB2	decoy	P07550	0.152	0.114	0.029	0.648	27.96	5	4.2	0	-1	
284_274_989	DRD2	decoy	P14416	0.168	0.127	0.034	0.545	28.28	5	4.7	0	-1	
284_274_989	ITGAV	decoy	P06756	0.479	0.452	0.043	0.659	24.95	5	17.7	0	-1	
284_274_989	ITGB3	decoy	P05106	0.256	0.245	0.008	0.619	27.79	5	10.4	0	-1	
277_230_793	IL23R	receptor	Q5VWK5	0.133	0.12	0.012	0.621	28.01	5	15.9	0	-1	
277_230_793	IL10RA	receptor	Q13651	0.158	0.118	0.03	0.684	26.2	5	7.2	0	-1	
277_230_793	GLP1R	receptor	P43220	0.157	0.118	0.031	0.487	23.88	5	3.9	0	-1	
277_230_793	GPR35	receptor	Q9HC97	0.097	0.07	0.016	0.658	29.06	5	11.5	0	-1	
277_230_793	TNFRSF1B	receptor	P20333	0.353	0.331	0.017	0.545	23.37	5	7.7	0	-1	
277_230_793	IL6R	receptor	P08887	0.253	0.185	0.058	0.636	25.54	5	13.5	0	-1	
277_230_793	IL7R	receptor	P16871	0.683	0.638	0.076	0.761	17.04	5	7.2	0	-1	
277_230_793	EPOR	decoy	P19235	0.486	0.431	0.067	0.759	21.19	5	7.6	0	-1	
277_230_793	GHR	decoy	P10912	0.475	0.434	0.031	0.67	22.03	5	8.7	0	-1	
277_230_793	GCGR	decoy	P47871	0.166	0.147	0.023	0.486	23.29	5	3.6	0	-1	
277_230_793	PTHR1	decoy	Q03431	0.119	0.104	0.016	0.396	27.25	5	5.2	0	-1	
245_233_686	FPR1	receptor	P21462	0.256	0.228	0.023	0.705	24.26	5	12.5	0	-1	
245_233_686	FPR2	receptor	P25090	0.277	0.261	0.011	0.745	23.78	5	12.3	0	-1	
245_233_686	IL10RA	receptor	Q13651	0.172	0.152	0.013	0.753	24.92	5	6.5	0	-1	
245_233_686	GLP1R	receptor	P43220	0.186	0.163	0.021	0.56	22.06	5	3.3	0	-1	
245_233_686	GPR35	receptor	Q9HC97	0.16	0.134	0.015	0.695	25.91	5	10.1	0	-1	
245_233_686	CCR6	receptor	P51684	0.134	0.118	0.014	0.607	28.19	5	13.8	0	-1	
245_233_686	TNFRSF1B	receptor	P20333	0.202	0.189	0.015	0.552	25.41	5	6.6	0	-1	
245_233_686	IL7R	receptor	P16871	0.14	0.128	0.008	0.72	25.79	5	6.5	0	-1	
245_233_686	EPOR	decoy	P19235	0.096	0.09	0.006	0.735	27.26	5	6.5	0	-1	
245_233_686	GHR	decoy	P10912	0.126	0.108	0.021	0.635	27.44	5	7.3	0	-1	
245_233_686	GCGR	decoy	P47871	0.138	0.125	0.009	0.554	22.58	5	3.2	0	-1	
245_233_686	PTHR1	decoy	Q03431	0.192	0.175	0.014	0.433	24.49	5	4.3	0	-1	
272_990_998	FPR1	receptor	P21462	0.131	0.099	0.024	0.632	28.06	5	12.7	0	-1	
272_990_998	FPR2	receptor	P25090	0.183	0.152	0.02	0.693	26.67	5	13.2	0	-1	
272_990_998	IL10RA	receptor	Q13651	0.085	0.073	0.01	0.69	28.69	5	6.6	0	-1	
272_990_998	GLP1R	receptor	P43220	0.095	0.092	0.004	0.491	25.74	5	3.5	0	-1	
272_990_998	GPR35	receptor	Q9HC97	0.151	0.113	0.02	0.641	28.68	5	10.8	0	-1	
272_990_998	TNFRSF1B	receptor	P20333	0.181	0.178	0.004	0.519	25.84	5	7.5	0	-1	
272_990_998	IL6R	receptor	P08887	0.277	0.238	0.02	0.651	24.55	5	12.8	0	-1	
272_990_998	CXCR4	receptor	P61073	0.285	0.25	0.02	0.643	28.45	5	13.2	0	-1	
272_990_998	IL7R	receptor	P16871	0.138	0.121	0.012	0.683	25.99	5	7.0	0	-1	
272_990_998	EPOR	decoy	P19235	0.144	0.132	0.009	0.709	25.85	5	7.2	0	-1	
272_990_998	GHR	decoy	P10912	0.148	0.139	0.009	0.614	27.02	5	7.7	0	-1	
272_990_998	GCGR	decoy	P47871	0.178	0.141	0.036	0.49	24.54	5	3.3	0	-1	
272_990_998	PTHR1	decoy	Q03431	0.143	0.135	0.005	0.401	25.66	5	4.9	0	-1	
268_960_148	IL23R	receptor	Q5VWK5	0.17	0.126	0.022	0.635	27.16	5	12.4	0	-1	
268_960_148	FPR1	receptor	P21462	0.115	0.09	0.015	0.647	28.38	5	13.2	0	-1	
268_960_148	FPR2	receptor	P25090	0.192	0.176	0.017	0.708	26.4	5	13.2	0	-1	
268_960_148	IL10RA	receptor	Q13651	0.084	0.077	0.01	0.686	28.23	5	6.9	0	-1	
268_960_148	GLP1R	receptor	P43220	0.121	0.113	0.01	0.461	24.94	5	3.9	0	-1	
268_960_148	GPR35	receptor	Q9HC97	0.089	0.082	0.006	0.659	28.95	5	10.8	0	-1	
268_960_148	TNFRSF1B	receptor	P20333	0.122	0.102	0.014	0.497	27.7	5	7.5	0	-1	
268_960_148	IL6R	receptor	P08887	0.161	0.141	0.016	0.627	27.71	5	13.1	0	-1	
268_960_148	CXCR4	receptor	P61073	0.079	0.072	0.004	0.615	29.83	5	13.4	0	-1	
268_960_148	IL7R	receptor	P16871	0.432	0.325	0.109	0.696	25.17	5	7.4	0	-1	
268_960_148	EPOR	decoy	P19235	0.116	0.107	0.009	0.7	26.82	5	7.6	0	-1	
268_960_148	GHR	decoy	P10912	0.135	0.115	0.016	0.582	27.13	5	8.4	0	-1	
268_960_148	GCGR	decoy	P47871	0.101	0.099	0.003	0.425	25.16	5	3.3	0	-1	
268_960_148	PTHR1	decoy	Q03431	0.116	0.109	0.006	0.37	26.85	5	5.2	0	-1	
092_958_666	FPR2	receptor	P25090	0.229	0.196	0.049	0.691	25.45	5	13.2	0	-1	
092_958_666	IL10RA	receptor	Q13651	0.374	0.32	0.082	0.757	19.19	5	6.8	0	-1	
092_958_666	GLP1R	receptor	P43220	0.105	0.097	0.005	0.471	26.07	5	3.8	0	-1	
092_958_666	GPR35	receptor	Q9HC97	0.086	0.079	0.006	0.65	28.75	5	11.1	0	-1	
092_958_666	TNFRSF1B	receptor	P20333	0.124	0.098	0.02	0.495	27.69	5	7.5	0	-1	
092_958_666	CXCR4	receptor	P61073	0.077	0.071	0.005	0.611	30.22	5	12.8	0	-1	
092_958_666	IL7R	receptor	P16871	0.095	0.084	0.007	0.676	27.4	5	7.3	0	-1	
092_958_666	EPOR	decoy	P19235	0.11	0.104	0.007	0.707	27.05	5	7.5	0	-1	
092_958_666	GHR	decoy	P10912	0.206	0.196	0.008	0.631	25.09	5	8.2	0	-1	
092_958_666	GCGR	decoy	P47871	0.107	0.086	0.014	0.444	25.16	5	3.6	0	-1	
092_958_666	PTHR1	decoy	Q03431	0.064	0.056	0.006	0.349	28.49	5	5.0	0	-1	
163_080_310	IL23R	receptor	Q5VWK5	0.24	0.181	0.056	0.658	26.53	5	13.5	0	-1	
163_080_310	IL10RA	receptor	Q13651	0.267	0.191	0.065	0.71	26.37	5	6.7	0	-1	
163_080_310	GLP1R	receptor	P43220	0.116	0.111	0.004	0.499	24.73	5	3.5	0	-1	
163_080_310	GPR35	receptor	Q9HC97	0.149	0.134	0.017	0.648	26.66	5	10.8	0	-1	
163_080_310	TNFRSF1B	receptor	P20333	0.147	0.139	0.007	0.52	26.91	5	7.6	0	-1	
163_080_310	IL6R	receptor	P08887	0.269	0.26	0.01	0.657	25.17	5	12.7	0	-1	
163_080_310	IL7R	receptor	P16871	0.23	0.173	0.054	0.696	24.86	5	7.0	0	-1	
163_080_310	EPOR	decoy	P19235	0.308	0.236	0.081	0.737	23.48	5	7.2	0	-1	
163_080_310	GHR	decoy	P10912	0.118	0.094	0.018	0.611	28.04	5	7.7	0	-1	
163_080_310	GCGR	decoy	P47871	0.136	0.121	0.014	0.491	24.06	5	3.3	0	-1	
163_080_310	PTHR1	decoy	Q03431	0.133	0.122	0.007	0.412	26.11	5	4.8	0	-1	
092_990_882	IL23R	receptor	Q5VWK5	0.151	0.125	0.015	0.648	27.48	5	12.9	0	-1	
092_990_882	FPR1	receptor	P21462	0.244	0.226	0.019	0.709	25.08	5	12.4	0	-1	
092_990_882	FPR2	receptor	P25090	0.306	0.272	0.021	0.744	23.52	5	12.7	0	-1	
092_990_882	IL10RA	receptor	Q13651	0.112	0.099	0.014	0.722	27.52	5	6.8	0	-1	
092_990_882	GLP1R	receptor	P43220	0.124	0.104	0.011	0.504	24.89	5	3.5	0	-1	
092_990_882	GPR35	receptor	Q9HC97	0.111	0.09	0.014	0.664	28.0	5	10.4	0	-1	
092_990_882	TNFRSF1B	receptor	P20333	0.172	0.165	0.006	0.537	26.43	5	7.3	0	-1	
092_990_882	IL6R	receptor	P08887	0.179	0.17	0.009	0.652	27.49	5	12.4	0	-1	
092_990_882	CXCR4	receptor	P61073	0.245	0.202	0.025	0.683	25.38	5	12.3	0	-1	
092_990_882	IL7R	receptor	P16871	0.392	0.233	0.086	0.73	21.99	5	6.7	0	-1	
092_990_882	EPOR	decoy	P19235	0.14	0.131	0.008	0.726	26.18	5	7.3	0	-1	
092_990_882	GHR	decoy	P10912	0.14	0.098	0.027	0.618	27.51	5	7.5	0	-1	
092_990_882	GCGR	decoy	P47871	0.124	0.111	0.01	0.487	23.48	5	3.5	0	-1	
092_990_882	PTHR1	decoy	Q03431	0.338	0.304	0.025	0.473	22.2	5	4.8	0	-1	
240_799_365	IL23R	receptor	Q5VWK5	0.134	0.122	0.009	0.631	28.12	5	12.3	0	-1	
240_799_365	FPR1	receptor	P21462	0.138	0.117	0.012	0.635	28.24	5	13.3	0	-1	
240_799_365	FPR2	receptor	P25090	0.145	0.122	0.017	0.661	28.25	5	13.7	0	-1	
240_799_365	IL10RA	receptor	Q13651	0.09	0.082	0.009	0.684	28.28	5	7.0	0	-1	
240_799_365	GLP1R	receptor	P43220	0.191	0.176	0.016	0.519	22.62	5	3.6	0	-1	
240_799_365	GPR35	receptor	Q9HC97	0.341	0.248	0.088	0.638	27.68	5	11.0	0	-1	
240_799_365	CCR6	receptor	P51684	0.138	0.126	0.008	0.596	28.5	5	14.5	0	-1	
240_799_365	TNFRSF1B	receptor	P20333	0.216	0.203	0.013	0.527	25.53	5	7.7	0	-1	
240_799_365	IL7R	receptor	P16871	0.113	0.102	0.011	0.662	26.88	5	7.2	0	-1	
240_799_365	EPOR	decoy	P19235	0.187	0.162	0.03	0.706	25.83	5	7.4	0	-1	
240_799_365	GHR	decoy	P10912	0.115	0.096	0.011	0.589	29.53	5	8.3	0	-1	
240_799_365	GCGR	decoy	P47871	0.207	0.187	0.027	0.512	21.74	5	3.5	0	-1	
240_799_365	PTHR1	decoy	Q03431	0.162	0.148	0.011	0.41	25.45	5	5.2	0	-1	
281_962_460	IL10RA	receptor	Q13651	0.363	0.357	0.007	0.744	21.49	5	6.8	0	-1	
281_962_460	GLP1R	receptor	P43220	0.203	0.152	0.029	0.557	22.72	5	3.4	0	-1	
281_962_460	GPR35	receptor	Q9HC97	0.782	0.776	0.008	0.654	26.21	5	10.7	0	-1	
281_962_460	CCR6	receptor	P51684	0.495	0.372	0.147	0.615	27.49	5	14.1	0	-1	
281_962_460	TNFRSF1B	receptor	P20333	0.713	0.612	0.173	0.56	22.1	5	7.5	0	-1	
281_962_460	IL7R	receptor	P16871	0.271	0.262	0.01	0.718	22.63	5	7.0	0	-1	
281_962_460	EPOR	decoy	P19235	0.123	0.111	0.008	0.713	26.63	5	7.1	0	-1	
